Month,Region,State,Energy Requirement,Energy met,Peak Demand Met
01-10-2024,WR,Maharashtra,16873,16871,26632
01-10-2024,WR,Goa,455,455,741
01-10-2024,WR,Andhra Pradesh,6399,6382,11545
01-10-2024,WR,Telangana,7270,7250,14003
01-10-2024,WR,Karnataka,6408,6386,12850
01-10-2024,WR,Kerala,2567,2560,4455
01-10-2024,SR,Tamil Nadu,10267,10241,18113
01-10-2024,SR,Puducherry,301,300,517
01-10-2024,SR,Bihar,4047,4044,7204
01-10-2024,SR,Jharkhand,1305,1304,2229
01-10-2024,SR,Odisha,3916,3916,6388
01-10-2024,ER,West Bengal,5967,5967,11227
01-10-2024,ER,Sikkim,39,39,99
01-10-2024,ER,Railway ER ISTS,5,5,25
01-10-2024,ER,Arunachal Pradesh,86,86,170
01-10-2024,ER,Assam,1072,1072,2262
01-10-2024,ER,Manipur,81,81,226
01-10-2024,ER,Meghalaya,155,155,354
01-10-2024,NER,Mizoram,57,57,136
01-10-2024,NER,Nagaland,77,77,176
01-10-2024,NER,Tripura,171,171,333
01-09-2024,NER,Chandigarh,189,189,397
01-09-2024,NER,Delhi,3562,3562,6780
01-09-2024,NER,Haryana,6457,6457,12414
01-09-2024,NER,Himachal Pradesh,1074,1074,1884
01-09-2024,NER,J&K(UT) and Ladakh (UT),1574,1565,2836
01-09-2024,NER,Punjab,8619,8619,15310
01-09-2024,NR,Rajasthan,8920,8880,16292
01-09-2024,NR,Uttar Pradesh,14395,14391,29347
01-09-2024,NR,Uttarakhand,1442,1439,2489
01-09-2024,NR,Railway NR ISTS,126,126,227
01-09-2024,NR,Gujarat,12412,12412,24205
01-09-2024,NR,Madhya Pradesh,7295,7293,12677
01-09-2024,NR,Chhattisgarh,3549,3545,5873
01-09-2024,WR,Maharashtra,15459,15419,26543
01-09-2024,WR,Goa,412,412,718
01-09-2024,WR,Andhra Pradesh,6434,6432,12710
01-09-2024,WR,Telangana,7083,7080,15570
01-09-2024,WR,Karnataka,7005,7002,16050
01-09-2024,SR,Kerala,2472,2471,4353
01-09-2024,SR,Tamil Nadu,11247,11243,19393
01-09-2024,SR,Puducherry,315,315,517
01-09-2024,SR,Bihar,4324,4308,8005
01-09-2024,SR,Jharkhand,1252,1251,2194
01-09-2024,ER,Odisha,3632,3632,6300
01-09-2024,ER,West Bengal,6401,6401,11845
01-09-2024,ER,Sikkim,38,38,98
01-09-2024,ER,Railway ER ISTS,4,4,19
01-09-2024,ER,Arunachal Pradesh,93,93,194
01-09-2024,ER,Assam,1400,1399,2687
01-09-2024,ER,Manipur,77,77,235
01-09-2024,NER,Meghalaya,136,136,317
01-09-2024,NER,Mizoram,56,56,148
01-09-2024,NER,Nagaland,85,85,184
01-09-2024,NER,Tripura,177,177,376
01-08-2024,NER,Chandigarh,214,214,418
01-08-2024,NER,Delhi,3954,3954,6890
01-08-2024,NER,Haryana,7212,7212,12703
01-08-2024,NER,Himachal Pradesh,1073,1073,1732
01-08-2024,NER,J&K(UT) and Ladakh (UT),1550,1546,2624
01-08-2024,NER,Punjab,9291,9291,15307
01-08-2024,NR,Rajasthan,7790,7790,13409
01-08-2024,NR,Uttar Pradesh,16252,16245,29126
01-08-2024,NR,Uttarakhand,1669,1668,2452
01-08-2024,NR,Railway NR ISTS,127,127,228
01-08-2024,NR,Gujarat,11825,11825,21918
01-08-2024,NR,Madhya Pradesh,7252,7221,11822
01-08-2024,NR,Chhattisgarh,3303,3300,5478
01-08-2024,WR,Maharashtra,15647,15636,25855
01-08-2024,WR,Goa,428,427,690
01-08-2024,WR,Andhra Pradesh,6353,6353,11825
01-08-2024,WR,Telangana,6949,6949,15573
01-08-2024,WR,Karnataka,6411,6411,12580
01-08-2024,WR,Kerala,2363,2363,4262
01-08-2024,SR,Tamil Nadu,11135,11135,18047
01-08-2024,SR,Puducherry,318,318,517
01-08-2024,SR,Bihar,4412,4405,7815
01-08-2024,SR,Jharkhand,1278,1275,2182
01-08-2024,SR,Odisha,3647,3647,6020
01-08-2024,ER,West Bengal,6428,6428,10707
01-08-2024,ER,Sikkim,37,37,104
01-08-2024,ER,Railway ER ISTS,4,4,29
01-08-2024,ER,Arunachal Pradesh,99,99,195
01-08-2024,ER,Assam,1379,1376,2617
01-08-2024,ER,Manipur,74,74,214
01-08-2024,NER,Meghalaya,173,173,346
01-08-2024,NER,Mizoram,54,54,152
01-08-2024,NER,Nagaland,80,80,183
01-08-2024,NER,Tripura,210,210,341
01-07-2024,NER,Chandigarh,239,239,434
01-07-2024,NER,Delhi,4370,4370,8175
01-07-2024,NER,Haryana,8366,8348,14662
01-07-2024,NER,Himachal Pradesh,1181,1181,1838
01-07-2024,NER,J&K(UT) and Ladakh (UT),1650,1643,2635
01-07-2024,NER,Punjab,10399,10399,16006
01-07-2024,NR,Rajasthan,9714,9630,16371
01-07-2024,NR,Uttar Pradesh,17118,17091,30298
01-07-2024,NR,Uttarakhand,1669,1668,2545
01-07-2024,NR,Railway NR ISTS,133,133,227
01-07-2024,NR,Gujarat,12373,12373,19991
01-07-2024,NR,Madhya Pradesh,7700,7676,12746
01-07-2024,NR,Chhattisgarh,3611,3604,5948
01-07-2024,WR,Maharashtra,15511,15511,24174
01-07-2024,WR,Goa,409,409,697
01-07-2024,WR,Andhra Pradesh,6391,6353,11020
01-07-2024,WR,Telangana,6992,6949,13541
01-07-2024,WR,Karnataka,6458,6411,13820
01-07-2024,WR,Kerala,2378,2363,4183
01-07-2024,SR,Tamil Nadu,11192,11135,18542
01-07-2024,SR,Puducherry,319,318,517
01-07-2024,SR,Bihar,4667,4627,7909
01-07-2024,SR,Jharkhand,1374,1364,2351
01-07-2024,SR,Odisha,3694,3694,6350
01-07-2024,ER,West Bengal,7026,7026,11672
01-07-2024,ER,Sikkim,39,39,94
01-07-2024,ER,Railway ER ISTS,5,5,25
01-07-2024,ER,Arunachal Pradesh,89,89,186
01-07-2024,ER,Assam,1373,1373,2524
01-07-2024,ER,Manipur,83,83,213
01-07-2024,ER,Meghalaya,173,173,359
01-07-2024,NER,Mizoram,59,59,130
01-07-2024,NER,Nagaland,95,95,188
01-07-2024,NER,Tripura,184,184,359
01-06-2024,NER,Chandigarh,237,237,449
01-06-2024,NER,Delhi,4554,4554,8656
01-06-2024,NER,Haryana,7800,7789,14469
01-06-2024,NER,Himachal Pradesh,1149,1149,1919
01-06-2024,NER,J&K(UT) and Ladakh(UT),1648,1638,2902
01-06-2024,NER,Punjab,8796,8796,16089
01-06-2024,NR,Rajasthan,10469,10345,17774
01-06-2024,NR,Uttar Pradesh,18103,18057,30618
01-06-2024,NR,Uttarakhand,1615,1614,2863
01-06-2024,NR,Railway NR ISTS,127,127,236
01-06-2024,NR,Gujarat,14324,14324,25588
01-06-2024,NR,Madhya Pradesh,7916,7916,13953
01-06-2024,NR,Chhattisgarh,3470,3469,5438
01-06-2024,NR,Maharashtra,16628,16626,28310
01-06-2024,NR,Goa,434,428,799
01-06-2024,WR,Andhra Pradesh,6349,6349,12578
01-06-2024,WR,Telangana,6085,6085,11244
01-06-2024,WR,Karnataka,6394,6394,14335
01-06-2024,SR,Kerala,2435,2435,4400
01-06-2024,SR,Tamil Nadu,10784,10784,18771
01-06-2024,SR,Puducherry,310,310,517
01-06-2024,SR,Bihar,4568,4542,7588
01-06-2024,SR,Jharkhand,1433,1419,2330
01-06-2024,SR,Odisha,3938,3938,7046
01-06-2024,ER,West Bengal,7125,7125,12412
01-06-2024,ER,Sikkim,41,41,99
01-06-2024,ER,Railway ER ISTS,5,5,25
01-06-2024,ER,Arunachal Pradesh,84,84,170
01-06-2024,ER,Assam,1192,1192,2386
01-06-2024,ER,Manipur,94,94,225
01-06-2024,ER,Meghalaya,165,165,330
01-06-2024,NER,Mizoram,53,53,126
01-06-2024,NER,Nagaland,86,86,184
01-06-2024,NER,Tripura,163,163,353
01-05-2024,NER,Chandigarh,210,210,432
01-05-2024,NER,Delhi,4208,4208,8302
01-05-2024,NER,Haryana,6839,6839,12451
01-05-2024,NER,Himachal Pradesh,1077,1073,1827
01-05-2024,NER,J&K(UT) and Ladakh(UT),1647,1641,2878
01-05-2024,NER,Punjab,7239,7239,14519
01-05-2024,NR,Rajasthan,10357,10280,17567
01-05-2024,NR,Uttar Pradesh,17457,17457,29727
01-05-2024,NR,Uttarakhand,1669,1668,2781
01-05-2024,NR,Railway NR ISTS,131,131,233
01-05-2024,NR,Gujarat,14990,14990,24922
01-05-2024,NR,Madhya Pradesh,9053,9049,14309
01-05-2024,NR,Chhattisgarh,3679,3679,6073
01-05-2024,NR,Maharashtra,18846,18845,28452
01-05-2024,WR,Goa,506,506,803
01-05-2024,WR,Andhra Pradesh,7072,7072,13712
01-05-2024,WR,Telangana,6218,6218,11257
01-05-2024,WR,Karnataka,7892,7892,16826
01-05-2024,SR,Kerala,2846,2846,5797
01-05-2024,SR,Tamil Nadu,11838,11838,20830
01-05-2024,SR,Puducherry,333,333,517
01-05-2024,SR,Bihar,4201,4179,7546
01-05-2024,SR,Jharkhand,1402,1394,2346
01-05-2024,SR,Odisha,4099,4099,6988
01-05-2024,ER,West Bengal,6680,6680,12670
01-05-2024,ER,Sikkim,46,46,102
01-05-2024,ER,Railway ER ISTS,4,4,23
01-05-2024,ER,Arunachal Pradesh,86,86,198
01-05-2024,ER,Assam,1123,1118,2404
01-05-2024,ER,Manipur,86,86,227
